campaign_id,campaign_type,start_date,end_date
1,Type B,2017-03-03,2017-04-09
2,Type B,2017-03-08,2017-04-09
3,Type C,2017-03-13,2017-05-08
4,Type B,2017-03-29,2017-04-30
5,Type B,2017-04-03,2017-05-07
6,Type C,2017-04-19,2017-05-21
7,Type B,2017-04-24,2017-05-28
8,Type A,2017-05-08,2017-06-25
9,Type B,2017-05-31,2017-07-02
10,Type B,2017-06-28,2017-07-30
11,Type B,2017-07-12,2017-08-27
12,Type B,2017-07-12,2017-08-13
13,Type A,2017-08-08,2017-09-24
14,Type C,2017-09-04,2017-11-08
15,Type C,2017-09-20,2018-02-28
16,Type B,2017-10-04,2017-11-05
17,Type B,2017-10-18,2017-11-19
18,Type A,2017-10-30,2017-12-24
19,Type B,2017-11-15,2017-12-17
20,Type C,2017-11-27,2018-02-05
21,Type B,2017-12-06,2018-01-07
22,Type B,2017-12-06,2018-01-07
23,Type B,2017-12-28,2018-02-04
24,Type C,2016-11-14,2017-01-16
25,Type B,2016-12-06,2017-02-05
26,Type B,2016-12-28,2017-02-19
27,Type A,2017-02-08,2017-03-26
